epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,2520.75,1.03417,1.11855,1.39879,0.69587,0.58173,0.65101,0.4136,1.35118,1.3976,1.69387,0.000742866,0.000742866,0.000742866
99,2546.19,1.02403,1.14175,1.38117,0.64227,0.56919,0.61952,0.40003,1.36798,1.40478,1.71169,0.000735792,0.000735792,0.000735792
100,2572.24,1.01036,1.11809,1.37329,0.71903,0.51269,0.5977,0.37979,1.40287,1.52459,1.76052,0.000728719,0.000728719,0.000728719
101,2598.08,0.99301,1.17176,1.39001,0.73931,0.54548,0.63056,0.39707,1.35743,1.42034,1.74411,0.000721645,0.000721645,0.000721645
102,2623.93,0.99939,1.06985,1.35816,0.64463,0.57537,0.6231,0.3869,1.32257,1.40032,1.67014,0.000714571,0.000714571,0.000714571
103,2649.83,0.98255,1.06786,1.35,0.71636,0.56314,0.63929,0.4119,1.29137,1.36872,1.66478,0.000707498,0.000707498,0.000707498
104,2675.63,0.98373,1.02555,1.3467,0.73167,0.50413,0.61775,0.38873,1.34884,1.46539,1.68854,0.000700424,0.000700424,0.000700424
105,2701.58,0.94837,1.07057,1.34202,0.67222,0.56928,0.61844,0.39394,1.3347,1.41599,1.69346,0.000693351,0.000693351,0.000693351
106,2727.4,0.96941,1.02244,1.33827,0.61886,0.52437,0.59983,0.38316,1.39711,1.50989,1.74634,0.000686277,0.000686277,0.000686277
107,2753.29,0.98399,1.04609,1.36382,0.62879,0.59599,0.63505,0.40229,1.34647,1.41132,1.71371,0.000679204,0.000679204,0.000679204
108,2779.35,0.96522,1.00616,1.29577,0.65924,0.58825,0.64585,0.41064,1.35783,1.37596,1.72484,0.00067213,0.00067213,0.00067213
109,2805.28,0.94062,1.02431,1.31727,0.599,0.58841,0.60825,0.38073,1.36717,1.45996,1.70821,0.000665057,0.000665057,0.000665057
110,2831.17,0.94663,0.99601,1.31957,0.80219,0.51448,0.64064,0.39257,1.43086,1.35912,1.74915,0.000657983,0.000657983,0.000657983
111,2856.9,0.96731,1.00982,1.33265,0.68795,0.52849,0.61318,0.39068,1.41645,1.46501,1.75503,0.000650909,0.000650909,0.000650909
112,2882.89,0.97259,1.01379,1.3371,0.7106,0.53379,0.60911,0.39312,1.36751,1.43881,1.71942,0.000643836,0.000643836,0.000643836
